sensor_index,date_created,private,location_type,uptime,position_rating,Y,X
141980,1640819357,0,1,4720,5,40.46824,-80.069916
141984,1640819384,0,1,16946,5,37.817043,-122.29071
10936,1526589112,0,1,572,5,40.68421,-111.79892
142010,1640819745,0,1,18916,5,38.457764,-122.712234
142008,1640819745,0,1,5602,5,33.783993,-118.36859
142014,1640819978,0,1,4074,4,40.424843,-79.920105
10942,1526589175,0,1,18864,2,35.038486,-80.83801
142022,1640820112,0,1,18924,5,47.211563,-122.55734
142020,1640819997,0,1,658,1,37.929203,-122.35165
142030,1640820594,0,1,18820,5,38.70706,-121.18618
142034,1640881153,0,0,402,0,5.938908,-0.1207
10978,1526749106,0,1,18935,4,44.94863,-93.05569
10980,1526749476,0,0,18881,0,40.925343,-121.66015
142064,1640894327,0,1,18828,5,39.975414,-105.155525
11002,1526754549,0,0,18884,5,41.01832,-81.796585
11006,1526754684,0,0,18899,5,33.974392,-118.3839
142076,1640904381,0,1,18318,5,36.473915,-82.55694
142080,1640904394,0,0,18822,5,39.931904,-105.16188
142086,1640904636,0,0,18318,5,36.47394,-82.55697
142084,1640904405,0,0,32,5,40.420033,-79.846344
142088,1640904640,0,0,18317,5,36.473915,-82.556915
11032,1527009032,0,0,490,5,36.83655,-121.37074
11034,1527009039,0,0,18335,5,33.83798,-118.33137
11048,1527014290,0,0,2932,5,41.058475,-81.55693
142122,1641227471,0,1,4978,0,37.55115,-122.336136
11050,1527014294,0,0,5237,5,30.268393,-95.43928
11058,1527014309,0,0,18887,5,19.939959,-155.865
11082,1527018973,0,0,4563,5,37.27556,-107.87766
11084,1527018974,0,0,18931,5,37.241188,-107.82138
11092,1527018991,0,0,9191,0,37.407,-107.81675
11106,1527023277,0,0,18882,5,53.426987,-117.54366
11110,1527023297,0,0,16202,5,47.94209,-119.00114
11116,1527023509,0,0,12129,5,36.454044,-118.89061
11118,1527023510,0,0,12131,5,36.453445,-118.909546
11120,1527023514,0,0,3921,1,48.376633,-122.2977
11122,1527023516,0,0,706,5,50.688923,-120.30663
11128,1527023569,0,0,18883,5,51.22511,5.965215
11134,1527023589,0,0,18891,5,44.92776,-93.32235
11158,1527094450,0,0,18293,5,35.73185,-78.85036
142240,1641241038,0,0,18949,0,45.471226,-122.729324
11174,1527109002,0,0,18935,5,35.734417,-78.84948
142250,1641242934,0,0,18927,5,35.936817,-83.97827
11184,1527109045,0,0,8779,5,35.73436,-78.84706
11190,1527109104,0,0,18918,5,35.73031,-78.85125
11220,1527114627,0,0,18850,5,32.65464,-115.525925
11228,1527114661,0,0,12575,5,32.589184,-115.452774
142306,1641247807,0,0,18836,5,-38.079174,145.13045
